anger,happy,fear,sad,excite,brightness,loudness,mean
8.450438624,-0.985024956,0.746767295,0.42534246,-1.630610091,0.452061436,0.030956603,1
9.510030139,-2.286207385,0.71000825,0.388764138,-1.482484896,0.456211676,0.036718787,1
9.507125404,-3.023919466,0.592097873,0.313121059,-1.283680738,0.462459762,0.037330715,1
8.428862003,-3.069292149,0.438788971,0.223993072,-1.068123672,0.466029002,0.033963914,1
6.641715897,-2.38865267,0.283974865,0.138301876,-0.85916369,0.465748281,0.028520116,1
4.597300244,-1.18859929,0.147332427,0.065025971,-0.670949457,0.463112524,0.022706778,1
2.647257704,0.144876149,0.037781234,0.007758634,-0.486604444,0.460161583,0.017913082,1
0.996745575,1.358387323,-0.04253601,-0.033116462,-0.14230127,0.45720512,0.016066614,1
-0.237402024,2.647910514,-0.09540345,-0.055970266,0.633182011,0.453448156,0.019224998,1
-0.843747993,4.04248852,-0.120919573,-0.038873002,1.765871337,0.44886101,0.02629495,1
-0.620931292,5.056220346,-0.107959686,0.073586791,2.759832514,0.443630992,0.036010491,1
0.16749524,5.279931458,-0.070154009,0.319034674,3.229791972,0.439798555,0.045509976,1
1.063758892,4.72643186,-0.032501018,0.637689633,3.138287667,0.438323325,0.050805068,1
1.887671221,3.676806239,-0.008055495,0.887318906,2.657213946,0.435585473,0.050762399,1
2.578277918,2.452645194,0.002235259,0.977104437,1.994682329,0.428667632,0.046654177,1
2.961776385,1.317025051,0.002668374,0.912009454,1.30953387,0.4188741,0.040283087,1
2.908989547,0.464321541,-0.002032974,0.747071101,0.696363026,0.41253432,0.032915333,1
2.467262879,0.005121363,-0.008469829,0.541363876,0.199712639,0.413754436,0.025317481,1
1.796822865,-0.058189395,-0.014637686,0.337683259,-0.167904958,0.422073954,0.018076913,1
1.066028145,0.170745643,-0.019509716,0.16043228,-0.412713764,0.434739581,0.01180965,1
0.396168261,0.487140241,-0.022662124,0.020294299,-0.551298345,0.449833982,0.007050369,1
