anger,happy,fear,sad,excite,brightness,loudness,mean
-0.096344825,2.509738576,-8.95E-11,0.090370953,-0.54943839,0.243150651,0.003847582,1
0.440236018,2.200963306,-4.88E-11,-0.055689516,-0.589704408,0.213901852,0.002146848,1
0.954157795,2.149097607,-2.66E-11,-0.15484183,-0.414284542,0.190589442,0.001713484,1
1.301569083,2.253706963,-1.44E-11,-0.212777837,-0.02455835,0.178360998,0.002717956,1
1.428489495,2.368895582,-7.79E-12,-0.237356575,0.491637686,0.176290907,0.004771263,1
1.36969575,2.432908599,-4.20E-12,-0.237107635,0.977390808,0.180759636,0.007213377,1
1.196768003,2.485178603,-2.26E-12,-0.220174905,1.306010165,0.188800594,0.010691184,1
0.977000497,2.630101022,-1.21E-12,-0.193605307,1.413288314,0.198468242,0.014311898,1
0.754574702,2.879984059,-6.46E-13,-0.162962966,1.309570138,0.208530885,0.017143088,1
0.540028655,3.052504317,-3.44E-13,-0.132234796,1.061467816,0.219113464,0.018532111,1
0.334636038,2.947024047,-1.83E-13,-0.103957877,0.749063559,0.235180261,0.019022835,1
0.160248163,2.594340265,-9.70E-14,-0.079480066,0.436581249,0.258990487,0.019066148,1
0.055326807,2.287612308,-5.13E-14,-0.05927029,0.163887595,0.285169688,0.019195439,1
0.026090539,2.259020329,-2.71E-14,-0.0432161,-0.050229958,0.307557676,0.020345193,1
0.050036178,2.545227768,-1.42E-14,-0.030871951,-0.201564324,0.323317534,0.022235743,1
0.101656904,2.975281309,-7.48E-15,-0.021644303,-0.294750668,0.332328505,0.02298007,1
0.162750507,3.315026198,-3.92E-15,-0.014915383,-0.339152466,0.335834189,0.021433965,1
0.22266611,3.432514182,-2.05E-15,-0.010115931,-0.346070573,0.335183375,0.01802028,1
0.275876359,3.331307421,-1.07E-15,-0.006760223,-0.326856021,0.331467189,0.013798525,1
0.31953059,3.084542884,-5.57E-16,-0.004456026,-0.291677417,0.325766709,0.009822005,1
0.347562032,2.742919331,-2.90E-16,-0.002899793,-0.248821639,0.319523192,0.00667517,1
0.341457207,2.277091186,-1.50E-16,-0.001864574,-0.204439018,0.315291167,0.004398727,1
0.293082284,1.69445245,-7.78E-17,-0.001185529,-0.162628113,0.313638565,0.002975079,1
0.213784014,1.100908794,-4.02E-17,-0.000745866,-0.125738802,0.312864171,0.002586086,1
0.122918589,0.605835295,-2.08E-17,-0.000464617,-0.094776903,0.311468043,0.00395708,1
0.037161951,0.258783392,-1.07E-17,-0.000286723,-0.069817498,0.308981559,0.006916433,1
-0.033436787,0.051363468,-5.50E-18,-0.000175383,-0.050367062,0.305729516,0.010641383,1
-0.084930486,-0.078151019,-2.82E-18,-0.000106385,-0.035645897,0.303498532,0.014109804,1
-0.117487856,-0.187777949,-1.45E-18,-6.40E-05,-0.024786259,0.30788185,0.018471204,1
-0.133543175,-0.295736801,-7.40E-19,-3.82E-05,-0.016956159,0.321929665,0.023774796,1
-0.136516759,-0.393269689,-3.78E-19,-2.27E-05,-0.011425338,0.343496033,0.028443506,1
-0.130031975,-0.466766266,-1.93E-19,-1.34E-05,-0.007590849,0.368046486,0.032562486,1
-0.11745698,-0.508893668,-9.84E-20,-7.82E-06,-0.004977362,0.391018616,0.035689685,1
-0.101648523,-0.519831289,-5.01E-20,-4.55E-06,-0.003223764,0.407831318,0.037460669,1
-0.084833297,-0.50452369,-2.54E-20,-2.63E-06,-0.002064027,0.41562536,0.038779008,1
-0.068591648,-0.469765484,-1.29E-20,-1.51E-06,-0.001307248,0.414749448,0.03985309,1
-0.053915577,-0.422359188,-6.54E-21,-8.64E-07,-0.000819535,0.407766823,0.040050414,1
-0.041312569,-0.366341673,-3.31E-21,-4.92E-07,-0.000508858,0.397627714,0.039016155,1
-0.030928139,-0.283162229,-1.67E-21,-2.78E-07,-0.000313095,0.385652365,0.036598711,1
-0.022665234,-0.105343109,-8.44E-22,-1.57E-07,-0.000190994,0.368356359,0.033331734,1
-0.000949205,0.175491956,-4.26E-22,-8.80E-08,-0.000115564,0.343794735,0.02981342,1
0.137879932,0.483351578,-2.14E-22,-4.91E-08,-6.94E-05,0.314319733,0.02627854,1
0.589937594,0.706494823,-1.08E-22,-2.73E-08,-4.14E-05,0.284221507,0.023020534,1
1.549251823,0.78476593,-5.42E-23,-1.51E-08,-2.45E-05,0.257480942,0.021035966,1
3.053101394,0.731279832,0.003834274,-8.35E-09,-1.44E-05,0.236548453,0.020806041,1
4.846540462,0.594985743,0.027565449,-4.59E-09,-8.41E-06,0.22217261,0.021384052,1
6.605059035,0.427057975,0.062698197,-2.51E-09,-4.88E-06,0.213581525,0.023113131,1
8.080477505,0.276979819,0.088982008,-1.37E-09,-2.82E-06,0.209411479,0.026272729,1
9.040116193,0.208134617,0.097346613,-7.46E-10,-1.62E-06,0.208607323,0.029305708,1
9.227365499,0.265230234,0.089890014,-4.04E-10,-9.24E-07,0.211902304,0.030358422,1
8.509897993,0.373470144,0.0730102,-2.19E-10,-5.25E-07,0.226263245,0.030691534,1
7.044218725,0.436053698,0.05270065,-1.18E-10,-2.97E-07,0.255377142,0.031792186,1
5.18121529,0.424312244,0.032976183,-6.33E-11,-1.67E-07,0.294224626,0.034077313,1
3.277475262,0.379000829,0.015992858,-3.39E-11,-9.37E-08,0.32977464,0.037008568,1
1.602836315,0.36189644,0.002636347,-1.81E-11,-5.23E-08,0.352170507,0.039381201,1
0.319774536,0.402818008,-0.006966884,-9.65E-12,-2.90E-08,0.359981061,0.040665968,1
-0.528202313,0.492644634,-0.013122317,-5.13E-12,-1.61E-08,0.356741633,0.041207978,1
-0.987357365,0.605356713,-0.016371037,-2.72E-12,-8.86E-09,0.347123789,0.041076918,1
-1.148746455,0.711491304,-0.017360085,-1.44E-12,-4.87E-09,0.335171389,0.040021888,1
-1.130787835,0.765824041,-0.01674644,-7.58E-13,-2.66E-09,0.324631549,0.037680414,1
-1.043100277,0.733976927,-0.015126401,-3.99E-13,-1.45E-09,0.323078251,0.034369583,1
-0.94765973,0.620757654,-0.012991228,-2.09E-13,-7.89E-10,0.334603295,0.031391089,1
-0.862658882,0.459710223,-0.010708645,-1.10E-13,-4.28E-10,0.356403893,0.029506806,1
-0.786476361,0.316812467,-0.008525766,-5.74E-14,-2.31E-10,0.38165433,0.027881634,1
-0.714091968,0.353338214,-0.006586257,-3.00E-14,-1.24E-10,0.400105152,0.025902868,1
-0.642719368,0.648260706,-0.004954223,-1.56E-14,-6.68E-11,0.405455299,0.022989432,1
-0.571895126,1.076792253,-0.003638815,-8.11E-15,-3.58E-11,0.398221534,0.01868525,1
-0.502279242,1.463809839,-0.002615718,-4.21E-15,-1.91E-11,0.382991232,0.013259769,1
-0.43483994,1.71817658,-0.001843772,-2.18E-15,-1.02E-11,0.364684855,0.007808109,1
-0.370569235,1.831472947,-0.001276518,-1.13E-15,-5.40E-12,0.34690921,0.004505797,1
-0.306983433,1.818717655,-0.000869303,-5.81E-16,-2.86E-12,0.331709305,0.003990907,1
-0.222095049,1.688617849,-0.000583021,-2.99E-16,-1.51E-12,0.320230804,0.006340982,1
-0.077462367,1.480584271,-0.00038552,-1.54E-16,-7.98E-13,0.313148126,0.01038956,1
0.149192383,1.253258251,-0.000251587,-7.90E-17,-4.20E-13,0.310606069,0.014066123,1
0.433818704,1.069199675,-0.000162177,-4.05E-17,-2.20E-13,0.311948857,0.015824309,1
0.697973916,1.058875549,-0.000103347,-2.07E-17,-1.15E-13,0.314653443,0.01580976,1
0.850923944,1.341914752,-6.52E-05,-1.06E-17,-6.03E-14,0.310121505,0.016245129,1
0.859470275,1.903203639,-4.07E-05,-5.40E-18,-3.15E-14,0.292987062,0.018168055,1
0.75214514,2.618711592,-2.51E-05,-2.75E-18,-1.64E-14,0.26569237,0.021462982,1
0.581033899,3.34726364,-1.54E-05,-1.40E-18,-8.51E-15,0.234388557,0.025238518,1
0.392678621,3.986543249,-9.35E-06,-7.11E-19,-4.42E-15,0.204750684,0.029061739,1
0.217901587,4.484443665,-5.63E-06,-3.61E-19,-2.29E-15,0.180290151,0.032512009,1
0.072810814,4.828222051,-3.37E-06,-1.83E-19,-1.18E-15,0.162349465,0.035264829,1
-0.036816234,5.029367336,-2.00E-06,-9.25E-20,-6.09E-16,0.150857898,0.036812028,1
-0.11152006,5.111607282,-1.18E-06,-4.68E-20,-3.14E-16,0.14502574,0.037162539,1
-0.155385734,5.103104744,-6.91E-07,-2.36E-20,-1.61E-16,0.14369061,0.036951331,1
-0.174251327,5.031750532,-4.02E-07,-1.19E-20,-8.28E-17,0.145611606,0.036649139,1
-0.174506607,4.922408391,-2.33E-07,-5.99E-21,-4.24E-17,0.149629966,0.035870529,1
-0.162258243,4.795431512,-1.34E-07,-3.02E-21,-2.17E-17,0.154762275,0.034054347,1
-0.1427822,4.666105658,-7.66E-08,-1.51E-21,-1.11E-17,0.160216404,0.031410999,1
-0.118318247,4.539426956,-4.36E-08,-7.60E-22,-5.66E-18,0.165408072,0.02861236,1
-0.078056469,4.383645846,-2.47E-08,-3.81E-22,-2.88E-18,0.171005488,0.02575699,1
-0.000205543,4.133752735,-1.39E-08,-1.91E-22,-1.47E-18,0.182019382,0.0231096,1
0.111259717,3.77275122,-7.81E-09,-9.54E-23,-7.45E-19,0.201413162,0.021393971,1
0.230945827,3.333267986,-4.36E-09,-4.77E-23,-3.78E-19,0.226972263,0.020355972,1
0.327268898,2.79950621,-2.43E-09,-2.38E-23,-1.91E-19,0.254317073,0.018639363,1
